5 GALAXY - SHORT NOVELS,H. L. GOLF,No ISBN
A FINE FLEECE - KNITTING WITH HANDSPUN YARN,LISA LLOYD,978-0-307-34683-4
A HANDBOOK FOR SPINNERS – ANGORA,ERICA LYNNE,0-934026-75-0
A NO-LATHE SAXONY-STYLE SPINNING WHEEL CONSTRUCTION MANUAL,RICHARD & MYRNA SCHNEIDER,0-936984-05-8
A NOVEL - SPINNERS,ANTHONY MCCARTEN,0-688-16303-3
A NOVEL - WOMEN OF THE SILK,GAIL TSUKIYAMA,0-312-09943-6
A PICTORIAL GUIDE TO AMERICAN SPINNING WHEELS,DAVID PENNINGTON & MICHAEL TAYLOR,0-915836-01-7
A SMALL UPRIGHT SPINNING WHEEL CONSTRUCTION MANUAL,RICHARD & MYRNA SCHNEIDER,0-93694-06-6
A SYMPHONY FOR THE SHEEP,C. M. MILLEN,0-395-76503-X
A WEAVER'S GARDEN,RITA BUCHANAN,486407128
ANGORA GOATS THE NORTHERN WAY,SUSAN BLACK DRUMMOND,No ISBN
ANNIE AND THE OLD ONE,MISKA MILES,0-316-57120-2
BABY AFGHANS TO KNIT & CROCHET,LEISURE ARTS- LEAFLET 64,LEAFLET
BACK TO BASICS - DROP SHOULDER SWEATERS - SIZES 32 TO 40,LEISURE ARTS- LEAFLET 2287,LEAFLET
BEAUTIFUL SHEEP,KATHRYN DUNN,0-312-38512-9
BELLWETHER,CONNIE WILLIS,0-553-56296-7
BEYOND THE FOUR CORNERS OF THE - A NAVAJO WOMAN'S JOURNEY,EMILY BENEDEK,0-8061-3083-0
BIG COTTON,STEPHEN YAFA,0-670-03367-7
BODY & SOUL - A MASTERPIECE THEATRE PRESENTATION,KRISTIN SCOTT THOMAS,2-DISC SET
C. N. COTTON AND HIS NAVAJO BLANKETS,LESTER L. WILLIAM- M.D.,0-936755-09-1
CAPRINE COLORS - COLORING BOOK,JOSEPH MILLER,No ISBN
CHARLIE NEEDS A CLOAK,TOMIE DEPAOLA,0-671-66467-0
CLASSIC EARRING DESIGNS,NOLA MAY,0-943604-43-5
CLASSIC VESTS,BRUNSWICK- VOLUME 905,LEAFLET
COLOR IN SPINNING,DEB MENZ,1-931499-82-9
COLORS - THE STORY OF DYES AND PIGMENTS,FRANCOIS DELAMARE & BERNARD GUINEAU,0-8109-2872-8
COLORWORKS - THE CRAFTER'S GUIDE TO COLOR,DEB MENZ,1-931499-47-0
COMPLETELY ANGORA,SHARON KILFOYLE & LESLIE B SAMSON,  No ISBN
CONTEMPORARY NAVAJO WEAVING - THOUGHTS THAT COUNT,ANN LANE HEDLUND,0-89734-118-X
CRIME IN CORN WEATHER - A NOVEL,MARY MEIGS ATWATER,0-934026-84-X
CROCHETING TABLECLOTHS & PLACEMENTS,FLORENCE WEINSTEIN,0-486-20659-9
CROCHETS FOR BABIES- INFANTS & TODDLERS,COLUMBIA-MINERVA- BOOK 778,BOOKLET
DAUGHTER OF THE LOOM - A NOVEL,TRACIE PETERSON & JUDITH MILLER,0-7642-2688-6
DAUGHTERS OF COPPER WOMAN,ANNE CAMERON,1-55017-245-X
DESIGNER KNITTING,NINA SHUTTLEWOOD & JANET BIGGS,0-668-06446-3
DESIGNING FOR WEAVING - A STUDY GUIDE FOR DRAFTING- DESIGN AND COLOR,CAROL S. KURTZ,0-934026-21-1
DEZBA WOMAN OF THE DESERET - LIFE AMONG THE NAVAJO INDIANS,GLADYS A REICHARD,87380-057-5
DO IT IN WOOL - 365 DAYS A YEAR- 24 HOURS A DAY - 7 DAYS A WEEK,THE AMERICAN WOOL COUNCIL,No ISBN
DYEING WITH NATURAL MATERIALS,LAS ARANAS SPNNERS & WEAVERS GUILD- INC,No ISBN
DYEING WITH NATURAL MATERIALS,LAS ARANAS SPNNERS & WEAVERS GUILD- INC,No ISBN
FASHIONS FROM THE LOOM,BETTY J. BEARD,0-934026-03-3
FELTING BY HAND,ANNE EINSET VICKREY,0-9619053-5-2
FIBER PREPARATION AND MULTICOLOR BLENDING TECHNIQUES,DEB MENZ,VIDEO CASSETTE
FIBERARTS,SEPTEMBER/OCTOBER 1986,MAGAZINE
FIBERARTS,NOVEMBER/DECEMBER 1979,MAGAZINE
FIBERARTS,JANUARY/FEBRUARY 1989,MAGAZINE
FIBERARTS,NOVEMBER/DECEMBER 1989,MAGAZINE
FIBERARTS,SEPTEMBER/OCTOBER 1989,MAGAZINE
FIBERARTS,NOVEMBER/DECEMBER 1987,MAGAZINE
FIBERARTS,SUMMER 1989,MAGAZINE
FIBERARTS,MARCH/APRIL 1989,MAGAZINE
FIBERARTS,1988,MAGAZINE
FIBERARTS,MAY/JUNE 1987,MAGAZINE
FIBERARTS,SEPTEMBER/OCTOBER 1987,MAGAZINE
FIBERARTS,NOVEMBER/DECEMBER 1988,MAGAZINE
FIBERARTS,1988,MAGAZINE
FIBERLINE MAGAZINE,MICHIGAN FIBER FESTIVAL INC.- VOL. 9- ISSUE 1,MAGAZINE
FIBRE FACTS,BETTE HOCHBERG,0-9600990-6-9
FLEECEWEAVING - THE FLEECE- MORDANTS- DYEING- LOOMS AND MORE ,CAROL LEE - THE SHEEP SHED STUDIO,No ISBN
FORCES OF CHANGE - A NEW VIEW OF NATURE,THE SMITHSONIAN INSTITUTION,0-7922-7596-9
FUNDAMENTALS OF FELTMAKING - ENLARGED EDITION,PATRICIA SPARK,0-916658-48-1
GENUINE NAVAJO RUG: HOW TO TELL,NOEL BENNETT,0-910584-55-9
GOATS- SHEEP- AND HOW THEY LIVE,MARIE M JENKINS,0-8234-0317-3
H. L. JAMES RUGS AND POSTS,H.L. JAMES,0-88740-134-1
HALF FOR YOU,MEYER AZAAD,0-87614-016-9
HAND SPINNING COTTON,OLIVE & HARRY LINDER,0-915113-02-3
HANDBOOK OF TIMESAVING TABLES FOR WEAVERS- SPINNERS & DYERS,BETTIE G. ROTH & CHRIS SCHULZ,No ISBN
HANDMADE,SEPTEMBER/OCTOBER 1983,MAGAZINE
HANDMADE,ISSUE NO. 3 1986,MAGAZINE
HANDS ON SPINNING,LEE RAVEN,0-934026-27-0
HANDS ON SPINNING,LEE RAVEN,0-934926-27-0
HANDSPINDLES,BETTE HOCHBERG,0-9600990-4-2
HANDSPINING ART & TECHINQUE,ALLEN FANNIN,0-671-61036-8
HANDSPINNERS GUIDE TO SELLING,PAULA SIMMONS,0-914718-45-2
HANDSPINNER'S HANDBOOK,BETTE HOCHBERG,0-9600990-5-0
HANDSPINNER'S WORKBOOK: FANCY YARNS,MABEL ROSS,0-9507292-5-6
HANDSPINNING - ADVANCED TECHNIQUES,MABEL ROSS,VIDEO CASSETTE
HANDWOVEN,NOVEMBER/DECEMBER 1983,MAGAZINE
HANDWOVEN,SEPTEMBER/OCTOBER 1989,MAGAZINE
HANDWOVEN,SEPTMEBER 1981,MAGAZINE
HANDWOVEN,JANUARY/FEBRUARY 1985,MAGAZINE
HANDWOVEN,MAY 1981,MAGAZINE
HANDWOVEN,MARCH/APRIL 1989,MAGAZINE
HANDWOVEN,SEPTEMBER 1982,MAGAZINE
HANDWOVEN,MARCH 1982,MAGAZINE
HANDWOVEN,JANUARY/FEBRUARY 1984,MAGAZINE
HANDWOVEN,MAY/JUNE 1994,MAGAZINE
HEARTS AND BONES,MARGARET LAWRENCE,380788799
HIDDEN IN PLAIN VIEW: A SECRET STORY OF QUILT AND THE UNDERGROUND RAILROAD,JACQUELINE L. TOBIN & RAYMOND G DOBARD- Ph.D.,0-385-49767-9
IKAT TECHNIQUE,JACKIE BATTENFIELD,0-442-20595-3
INDIGO TEXTILES - TECHNIQUE AND HISTORY,GOSTA SANDBERG,0-937274-40-2
INDIGO- MADDER & MARIGOLD - A PORTFOLIO OF COLORS FROM NATURAL DYES,TRUDY VAN STRALEN,934026866
INTERWEAVE ,VOL. VI- # 1- WINTER 1980-81,MAGAZINE
INTERWEAVE ,VOL. V- #2- SPRING 1980,MAGAZINE
IS YOUR MAMA A LLAMA?,DEBORAH GUARINO,0-590-41387-2
JAMES GRANT SCOTTISH TARTANS IN FULL COLOR,JAMES GRANT,0-486-27046-7
JEWELRY - A CREATIVE CRAFT FOR YOUR LEISURE HOURS,SUE SIMMONS,0-525-70430-2
JEWLERY - THE SMITHSONIAN ILLUSTRATED LIBRARY OF ANTIQUES,MARIE-LOUISE D'OTRANGE MASTAI,No ISBN
KNIT LIT,LINDA ROGHAAR & MOLLY WOLF,0-609-80824-9
KNIT LIT THE THIRD,LINDA ROGHAAR & MOLLY WOLF,1-4000-9760-6
KNITTER'S ISSUE 14 ,SPRING 1989,MAGAZINE
KNITTER'S ISSUE 4,SPRING/SUMMER 1986,MAGAZINE
KNITTING BAZAAR,JO SHARP,1-56158-364-2
KNITTING FOR REAL PEOPLE,FERNE GELLER CONE,0-934026-47-5
KNITTING STYLISH STITCHES - TECHNIQUES- PATTERNS & DIAGRAMS,LYRIC BOOKS LIMITED,0-7111-0082-9
KNITTING-WORK: WEB OF MANY TEXTURES,RUTH PARTINGTON,No ISBN
LAMBS OF GOD - A NOVEL,MARELE DAY,1-57322-079-5
LEARN TO SPIN - ASHFORD INSTRUCTION BOOKLET,ASHFORD,No ISBN
LEARN TO SPIN AND ASSEMBLING INSTRUCTIONS,ASHFORD,LEAFLET
LEARNING TO WARP,DEBORAH CHANDLER,1-883010-04-7
LEARNING TO WEAVE,DEBORAH CHANDLER,0-934026-15-7
MAGLIA - A NEW BOOK OF CLASSIC AND UNIQUE DESIGNS,KERRY FERGUSON,No ISBN
MARY MEIGS ATWATER RECIPE BOOK (ON CD),MARY MEIGS ATWATER WEAVERS GUILD,CD
MARY MEIGS ATWATER RECIPE BOOK (ON CD),MARY MEIGS ATWATER WEAVERS GUILD,CD
MCCALL'S NEEDLEWORK TREASURY - A LEARN & MAKE BOOK,BY THE EDITORS OF MCCALL'S NEEDLEWORK & CRAFTS MAGAZINE,No ISBN
MERINO HANDSPINNING DYEING & WORKING WITH MERINO & SUPERFINE WOOLS,MARGARET STOVE,0-934026-71-8
MONOGRAMS AND CIPHERS,A. A. TURBAYNE,0-486-22182-2
MOVING TARGET - A NOVEL,ELIZABETH LOWELL ,0-06-103107-0
